"","n","j","t0","s","dicA","waicA","looA","dicB","waicB","looB","dicC","waicC","looC","dicD","waicD","looD","dicE","waicE","looE"
"1",10,10,0.05,1,424.588014223438,425.559677809358,425.733659726008,431.419049273848,433.477694248315,434.915460402188,392.692278957399,392.603917924684,394.430127047257,423.59105280045,425.025844315264,425.315818467652,392.206893045088,392.578806972771,394.406114124696
"2",10,10,0.05,2,374.496097237096,375.624730091658,375.912040117388,405.529221494664,406.20804605677,407.147576632831,363.739783874954,364.803509197711,366.226810861884,375.094413131338,376.502640070404,376.64645834724,361.922719225389,362.116356186835,363.264503016078
"3",10,10,0.05,3,419.702303308721,418.690953735026,418.82652993662,448.545255582964,448.142290680437,448.891970950808,417.7199790104,418.184325393437,418.86921075607,420.604679781714,420.934168734802,421.118144144909,416.585836176505,416.243548627431,416.662455810743
"4",10,10,0.05,4,424.897087906048,426.282665607992,426.75546696168,472.165359599979,473.084715392918,473.745141517739,391.644253729824,394.494866445099,397.159781784964,426.888725723871,428.673391794129,429.030754937664,393.510457316452,395.717336040674,397.560216259994
"5",10,10,0.05,5,422.113206161534,422.041100735497,422.148598722401,460.302721441215,460.023095723943,460.767961560089,416.220896212786,414.413834975626,415.130312138138,422.652889971794,423.304522326371,423.446120648857,416.338624610379,414.022988111459,414.520528193874
"6",10,10,0.05,6,411.22174706278,412.210396783948,412.437917153784,450.646881323102,449.394806009782,449.814027626142,408.151485732325,407.990846656787,408.59079255572,412.261693391944,412.725305574259,412.994548861748,409.914308201997,409.927401666264,410.540579982724
"7",10,10,0.05,7,422.722649756804,423.941384423899,424.158768874456,456.211673702168,456.124789632785,456.773733280465,407.721706192003,409.562559908757,411.098982047323,421.917146112392,423.785455485531,424.043270104081,406.64551782271,407.599325169488,408.846610981313
"8",10,10,0.05,8,435.24518084957,436.212189027015,436.368455106064,452.852612312404,453.4997010869,454.423256670542,414.219453800296,414.471139775706,415.327733438591,437.632570769375,437.744647188144,437.99790564374,413.452956096098,413.664664526567,414.630845968376
"9",10,10,0.05,9,420.454742623255,421.700347772993,421.925355282583,437.56903974035,438.910237704018,439.824941232045,403.43816668633,403.830387581034,405.655664232063,421.034202067361,422.177134642107,422.450792866884,401.011725697968,402.580338848199,404.131418376651
"10",10,10,0.05,10,423.805285165605,424.635136086056,424.846716926767,454.984222822388,458.052976987075,459.177780416465,406.469305166753,407.984390604349,409.537683889116,425.567177848112,427.050706070755,427.340982077586,405.039358476052,406.907071438539,408.5249549896
"11",10,10,0.05,11,430.00705223632,430.745795793389,430.925420381057,451.318558317027,451.219835959393,451.801081968003,419.478119810533,418.396334732401,419.106827053938,432.075871500158,432.747040286337,432.860899790496,416.695558936082,416.782591902384,417.42793861776
"12",10,10,0.05,12,419.971277783879,419.692493670267,419.827814782149,463.759168445543,465.234056788063,466.028808887454,419.361144900574,420.181787364383,420.877702063386,421.112427172514,422.066214315549,422.290381754654,419.366092667463,419.635366101153,420.266049526991
"13",10,10,0.05,13,445.848319865433,447.2704868634,447.460736973567,443.602336012397,443.973811734726,444.802702725658,402.010351747414,400.564429764683,401.818578757681,446.77093949366,448.084089163104,448.259274770111,402.433719339594,400.924263046183,401.601955213749
"14",10,10,0.05,14,434.836601778672,435.965043607825,436.138863680531,442.677016797355,444.11836302752,445.957379669045,406.424677329387,407.224225431508,408.935162723197,436.618728216953,437.699149961624,437.943695721061,405.033347981647,405.3392094166,406.362176361681
"15",10,10,0.05,15,421.179575453414,421.86331864958,422.068313155076,457.794096121045,457.770351789698,458.412371054141,409.447532149917,409.48127434333,410.380470953776,422.521740774286,422.627288258823,422.840831317342,407.407018116288,407.329804426264,408.117579434371
"16",10,10,0.05,16,404.048455746697,406.064446392633,406.398447536378,409.533569809648,409.535307739315,410.771661194206,358.304895391355,357.420837137541,358.87450901007,406.461402955894,408.556672853293,408.907686221752,356.762530887647,356.68028130692,358.285130941735
"17",10,10,0.05,17,417.886661175168,418.072297245129,418.233236973201,428.160387343449,429.626118407798,430.543830653845,407.001281729111,409.067184906284,410.026108916227,419.147640648309,420.400718304246,420.596785419813,407.212709879146,408.034252436561,409.08912529533
"18",10,10,0.05,18,424.075329322729,426.34507775122,426.740455336371,428.019257098879,430.605984878448,431.954968367324,396.877306217323,399.065171576804,400.969284596376,424.521989663578,427.89148174234,428.441573143188,396.28170262997,397.717961853604,398.915221135768
"19",10,10,0.05,19,428.176693643827,430.432809241736,430.87337413897,448.032838423442,450.936588331609,452.54027288892,408.594602007175,410.761390733825,412.564744230227,422.45724407666,424.998433525144,425.504142108648,409.181327367635,410.68431935433,412.46861015673
"20",10,10,0.05,20,418.59758756236,419.050978926913,419.163258360708,436.830642303304,438.208391268738,439.086679654698,396.463287493472,398.519272602011,400.072379980651,418.809488721438,419.195739640423,419.534092973981,394.536313374706,397.043971622034,398.498991091353
"21",10,10,0.05,21,399.591554920127,400.186415114356,400.398886366075,434.827310577907,435.83058466149,436.555644217339,400.122849998974,399.356795109398,400.030072347206,401.347639094083,402.387493147867,402.799735774216,399.053729247002,398.847399029,399.624199732577
