"","iter","G00","G10","G20","TAU0","TAU1","SIGMA","g00","g10","g20","tau0","tau1","sigma","dgam","dtau","dsig","dtot"
"1",1,5.17464521536832,-2.18619079530514,-2.1601809197526,1.79441048203178,2.81200056100004,1.03595987503638,5.24626849681933,-2.1977985554509,-2.1637714639054,1.74398944993131,3.97052646267446,1.04184947720014,0.0868215857495649,1.2089469337749,0.00588960216375933,1.30165812168822
"2",2,0.379994314357714,-4.88687702571239,-2.0256382544387,0.288500280421244,1.0926603773513,0.946386998898091,0.408196505995305,-4.93297903740382,-2.03392853413537,0.340596475091287,0.999221139990776,0.940113284942706,0.0825944830256926,0.145535432030567,0.00627371395538545,0.234403629011645
"3",3,-0.921921917159537,2.71855509449105,-9.0813331746238,0.337193058427246,0.488535351970872,0.495264713824668,-0.8490289480455,2.66547987772467,-9.09009181479618,0.407475483484513,0.452798504073339,0.497865307918891,0.134726826052799,0.106019272954801,0.00260059409422292,0.243346693101823
"4",4,4.5004245746552,-4.17894699074332,1.02351019986505,0.380914449512286,2.92315746565686,0.937651665863895,4.54487107947293,-4.46409029430647,1.02555354003464,0.312597945725642,3.44725831167396,0.93819554730276,0.331633148550458,0.592417349803745,0.000543881438865301,0.924594379793069
"5",5,-8.86586492023447,-0.0719597291255822,-9.59868781821608,0.477364383731206,1.51516454108076,1.07612722240519,-8.88838267010631,-0.331010263401615,-9.59834136760572,0.400902109808028,1.36606565267811,1.08101565396047,0.281914734758227,0.22556116232583,0.00488843155527618,0.512364328639333
"6",6,4.1888799192296,-4.1655891686943,8.94525889000588,0.60197079803143,0.767205096904034,1.04007977418239,4.11527331493328,-4.18410288513593,8.94300052099829,0.644110726665079,0.55199687017534,1.04373246752207,0.0943786897455459,0.257348155362343,0.00365269333968254,0.355379538447571
"7",7,-2.17052156484724,4.05647538516693,4.17257669247622,0.743169022943688,1.18574974433618,2.64383638970562,-2.23806120790201,4.07639555196493,4.19251441490621,0.872630058517835,1.31248433347077,2.66180431763589,0.107397532282767,0.256195624708743,0.0179679279302678,0.381561084921778
"8",8,0.9605829468123,-2.63005703163696,11.1597675111985,1.73868578046453,2.04353142796401,1.03898938243839,0.985349460749092,-2.39710628276351,11.1612092504639,1.89191140109012,2.34273229780972,1.06462993509207,0.259159002075725,0.45242649047129,0.0256405526536807,0.737226045200695
"9",9,-3.59367866857251,-13.642637780977,2.52125010372062,0.674204190857795,2.59641142133341,0.706319853918022,-3.65906373616907,-13.9542051100881,2.51997310746653,0.863563551922175,3.3360519040534,0.708057615686981,0.378229392961718,0.928999843784375,0.00173776176895846,1.30896699851505
"10",10,5.96810819412332,-3.33734184576283,-6.11373102785844,0.538182757951017,0.820286037203039,1.38281920589026,5.93390330477011,-3.34815334002577,-6.10461121680965,0.53647374410739,0.887863995412201,1.38592269769098,0.0541361946649381,0.0692869720527887,0.00310349180071667,0.126526658518443
"11",11,-1.94991177194452,-2.87462897117228,3.66770061224551,0.0630171705672096,0.224287121375963,0.666105537034942,-1.97173482575972,-2.81805961501143,3.66963230332865,0.0579803148028201,0.201027851681015,0.666325212785798,0.0803241010591924,0.0282961254593369,0.000219675750855686,0.108839902269385
"12",12,-12.0351993140477,-0.834927790476622,0.382992937025382,1.495889835907,0.619741966387832,0.708971685494824,-11.983520796996,-0.819186705348956,0.37846067286164,1.45935419885904,0.574546200161515,0.709007401910759,0.0719518663431771,0.08173140327427,3.57164159343615e-05,0.153718986033381
